Ndiff,run,model
199.33333333333334,run1,no_infection
274.6666666666667,run2,no_infection
203.33333333333331,run3,no_infection
213,run4,no_infection
325.3333333333333,run5,no_infection
328.3333333333333,run6,no_infection
187,run7,no_infection
276.3333333333333,run8,no_infection
165.66666666666669,run9,no_infection
123.66666666666666,run10,no_infection
301,run11,no_infection
187.66666666666666,run12,no_infection
84.66666666666667,run13,no_infection
230.33333333333331,run14,no_infection
243.33333333333331,run15,no_infection
68.66666666666667,run16,no_infection
421,run17,no_infection
196.66666666666666,run18,no_infection
190.33333333333334,run19,no_infection
325.3333333333333,run20,no_infection
246,run21,no_infection
182,run22,no_infection
257.3333333333333,run23,no_infection
237.66666666666666,run24,no_infection
292.6666666666667,run25,no_infection
176.66666666666666,run26,no_infection
111.66666666666667,run27,no_infection
139,run28,no_infection
96.66666666666667,run29,no_infection
449.3333333333333,run30,no_infection
243.66666666666666,run31,no_infection
243.00000000000003,run32,no_infection
301.6666666666667,run33,no_infection
296.3333333333333,run34,no_infection
315.6666666666667,run35,no_infection
184,run36,no_infection
229.33333333333334,run37,no_infection
336.6666666666667,run38,no_infection
174,run39,no_infection
143.66666666666669,run40,no_infection
152,run41,no_infection
261,run42,no_infection
148.66666666666666,run43,no_infection
270.66666666666663,run44,no_infection
320.66666666666663,run45,no_infection
163.66666666666669,run46,no_infection
256.33333333333337,run47,no_infection
303.6666666666667,run48,no_infection
159,run49,no_infection
373.3333333333333,run50,no_infection
128,run51,no_infection
314,run52,no_infection
239.33333333333334,run53,no_infection
163.33333333333334,run54,no_infection
237.33333333333334,run55,no_infection
37.666666666666664,run56,no_infection
113.33333333333333,run57,no_infection
247.66666666666666,run58,no_infection
295.3333333333333,run59,no_infection
99.33333333333333,run60,no_infection
155.66666666666666,run61,no_infection
210,run62,no_infection
275.6666666666667,run63,no_infection
182.66666666666666,run64,no_infection
279,run65,no_infection
209,run66,no_infection
185.33333333333331,run67,no_infection
140,run68,no_infection
291.33333333333337,run69,no_infection
226.66666666666666,run70,no_infection
313.6666666666667,run71,no_infection
155,run72,no_infection
167.33333333333334,run73,no_infection
135.33333333333331,run74,no_infection
295.3333333333333,run75,no_infection
276.6666666666667,run76,no_infection
344,run77,no_infection
489.66666666666663,run78,no_infection
177.66666666666666,run79,no_infection
200.66666666666669,run80,no_infection
178,run81,no_infection
227,run82,no_infection
272.66666666666663,run83,no_infection
199,run84,no_infection
305,run85,no_infection
247.00000000000003,run86,no_infection
213,run87,no_infection
323.6666666666667,run88,no_infection
246.33333333333334,run89,no_infection
298.6666666666667,run90,no_infection
228.66666666666666,run91,no_infection
417.3333333333333,run92,no_infection
175.66666666666666,run93,no_infection
219,run94,no_infection
157,run95,no_infection
183.66666666666666,run96,no_infection
164.66666666666669,run97,no_infection
235.66666666666666,run98,no_infection
243.00000000000003,run99,no_infection
92,run100,no_infection
132,run1,Anthrax
170.33333333333334,run2,Anthrax
68,run3,Anthrax
85.33333333333334,run4,Anthrax
4.333333333333334,run5,Anthrax
42,run6,Anthrax
105.66666666666666,run7,Anthrax
13,run8,Anthrax
132.66666666666666,run9,Anthrax
-4.333333333333334,run10,Anthrax
137.33333333333334,run11,Anthrax
144.66666666666669,run12,Anthrax
19.666666666666664,run13,Anthrax
-3,run14,Anthrax
23.666666666666668,run15,Anthrax
0.6666666666666667,run16,Anthrax
-20.333333333333332,run17,Anthrax
75,run18,Anthrax
21.333333333333336,run19,Anthrax
-20.333333333333332,run20,Anthrax
95.66666666666667,run21,Anthrax
67.66666666666666,run22,Anthrax
34.333333333333336,run23,Anthrax
-64,run24,Anthrax
-17.666666666666668,run25,Anthrax
63.66666666666667,run26,Anthrax
119.33333333333334,run27,Anthrax
25.666666666666664,run28,Anthrax
57.666666666666664,run29,Anthrax
78,run30,Anthrax
88.33333333333333,run31,Anthrax
24.333333333333336,run32,Anthrax
108,run33,Anthrax
