"","Ndiff","run","model","model2"
"1",-1.33333333333333,"run1","no_infection","No infection"
"2",1,"run2","no_infection","No infection"
"3",-10.3333333333333,"run1","Anthrax_DD_beta3e-5","Anthrax"
"4",-7.33333333333333,"run2","Anthrax_DD_beta3e-5","Anthrax"
"5",-9,"run1","Anthrax_FD_beta001","Anthrax"
"6",-7,"run2","Anthrax_FD_beta001","Anthrax"
"7",-15.3333333333333,"run1","bTB_DD_beta00014","bTB"
"8",-10.6666666666667,"run2","bTB_DD_beta00014","bTB"
"9",-10.3333333333333,"run1","bTB_FD_beta04","bTB"
"10",-12,"run2","bTB_FD_beta04","bTB"
"11",-15.3333333333333,"run1","bTB_DD_beta27e-5","bTB"
"12",1.33333333333333,"run2","bTB_DD_beta27e-5","bTB"
"13",-14.6666666666667,"run1","bTB_FD_beta0008","bTB"
"14",-10.3333333333333,"run2","bTB_FD_beta0008","bTB"
"15",-9,"run1","bTB_FD_beta00014","bTB"
"16",-6.33333333333333,"run2","bTB_FD_beta00014","bTB"
"17",-4.66666666666667,"run1","bTB_DD_beta4e-6","bTB"
"18",-10,"run2","bTB_DD_beta4e-6","bTB"
"19",0.666666666666667,"run1","bTB_FD_beta00063","bTB"
"20",-14.3333333333333,"run2","bTB_FD_beta00063","bTB"
"21",-1.66666666666667,"run1","bTB_DD_beta2e-5","bTB"
"22",-9.66666666666667,"run2","bTB_DD_beta2e-5","bTB"
"23",-5,"run1","HS_DD_beta03death005","HS"
"24",-8,"run2","HS_DD_beta03death005","HS"
"25",-14,"run1","HS_FD_beta100death005","HS"
"26",0.333333333333333,"run2","HS_FD_beta100death005","HS"
"27",-11.6666666666667,"run1","HS_DD_beta03death05","HS"
"28",-22.3333333333333,"run2","HS_DD_beta03death05","HS"
"29",-10.3333333333333,"run1","HS_FD_beta100death05","HS"
"30",-13.6666666666667,"run2","HS_FD_beta100death05","HS"
"31",-8.66666666666667,"run1","HS_FD_beta03death005","HS"
"32",-14.3333333333333,"run2","HS_FD_beta03death005","HS"
"33",2.66666666666667,"run1","HS_DD_beta0001death005","HS"
"34",-5.66666666666667,"run2","HS_DD_beta0001death005","HS"
"35",-13,"run1","HS_FD_beta03death05","HS"
"36",-9.66666666666667,"run2","HS_FD_beta03death05","HS"
"37",-14.6666666666667,"run1","HS_DD_beta0001death05","HS"
"38",-8.33333333333333,"run2","HS_DD_beta0001death05","HS"
"39",-12.6666666666667,"run1","HS_DD_beta05death005","HS"
"40",-8.66666666666667,"run2","HS_DD_beta05death005","HS"
"41",3.66666666666667,"run1","HS_FD_beta165death005","HS"
"42",-6.33333333333333,"run2","HS_FD_beta165death005","HS"
"43",-13.3333333333333,"run1","HS_DD_beta05death05","HS"
"44",-20.3333333333333,"run2","HS_DD_beta05death05","HS"
"45",-23.6666666666667,"run1","HS_FD_beta165death05","HS"
"46",-32,"run2","HS_FD_beta165death05","HS"
"47",-3.66666666666667,"run1","HS_FD_beta05death005","HS"
"48",-12,"run2","HS_FD_beta05death005","HS"
"49",-14.3333333333333,"run1","HS_DD_beta0002death005","HS"
"50",-4.66666666666667,"run2","HS_DD_beta0002death005","HS"
"51",-23.3333333333333,"run1","HS_FD_beta05death05","HS"
"52",-5.66666666666667,"run2","HS_FD_beta05death05","HS"
"53",-10.3333333333333,"run1","HS_DD_beta0002death05","HS"
"54",-13.3333333333333,"run2","HS_DD_beta0002death05","HS"
"55",-12.3333333333333,"run1","LSD_DD_beta0008","LSD"
"56",-18.6666666666667,"run2","LSD_DD_beta0008","LSD"
"57",-9.33333333333333,"run1","LSD_FD_beta2","LSD"
"58",-15.6666666666667,"run2","LSD_FD_beta2","LSD"
"59",-11.3333333333333,"run1","LSD_FD_beta0032","LSD"
"60",-9.33333333333333,"run2","LSD_FD_beta0032","LSD"
"61",-4,"run1","LSD_DD_beta1e-4","LSD"
"62",1,"run2","LSD_DD_beta1e-4","LSD"
"63",-22.6666666666667,"run1","FMD_DD_beta0026","FMD"
"64",-19,"run2","FMD_DD_beta0026","FMD"
"65",-25.6666666666667,"run1","FMD_FD_beta7","FMD"
"66",-25.6666666666667,"run2","FMD_FD_beta7","FMD"
"67",-25.3333333333333,"run1","FMD_DD_beta21","FMD"
"68",-23.3333333333333,"run2","FMD_DD_beta21","FMD"
"69",-34.6666666666667,"run1","FMD_FD_beta6552","FMD"
"70",-26.6666666666667,"run2","FMD_FD_beta6552","FMD"
"71",-2.66666666666667,"run1","FMD_FD_beta0115","FMD"
"72",-6.33333333333333,"run2","FMD_FD_beta0115","FMD"
"73",2,"run1","FMD_DD_beta4e-4","FMD"
"74",-6.66666666666667,"run2","FMD_DD_beta4e-4","FMD"
"75",-30.3333333333333,"run1","FMD_FD_beta21","FMD"
"76",-16.6666666666667,"run2","FMD_FD_beta21","FMD"
"77",-26.3333333333333,"run1","FMD_DD_beta007","FMD"
"78",-24.6666666666667,"run2","FMD_DD_beta007","FMD"
"79",-3,"run1","Brucellosis_DD_beta5e-6","Brucellosis"
"80",-9.66666666666667,"run2","Brucellosis_DD_beta5e-6","Brucellosis"
"81",-8.66666666666667,"run1","Brucellosis_FD_beta00016","Brucellosis"
"82",-5.66666666666667,"run2","Brucellosis_FD_beta00016","Brucellosis"
"83",-6.66666666666667,"run1","Brucellosis_FD_beta5e-3","Brucellosis"
"84",-0.333333333333333,"run2","Brucellosis_FD_beta5e-3","Brucellosis"
"85",-13.3333333333333,"run1","Brucellosis_DD_beta1e-5","Brucellosis"
"86",-11.3333333333333,"run2","Brucellosis_DD_beta1e-5","Brucellosis"
