Ndiff,run,model,transmit
199.33333333333334,run1,no infection,DD
274.6666666666667,run2,no infection,DD
203.33333333333331,run3,no infection,DD
213,run4,no infection,DD
325.3333333333333,run5,no infection,DD
328.3333333333333,run6,no infection,DD
187,run7,no infection,DD
276.3333333333333,run8,no infection,DD
165.66666666666669,run9,no infection,DD
123.66666666666666,run10,no infection,DD
301,run11,no infection,DD
187.66666666666666,run12,no infection,DD
84.66666666666667,run13,no infection,DD
230.33333333333331,run14,no infection,DD
243.33333333333331,run15,no infection,DD
68.66666666666667,run16,no infection,DD
421,run17,no infection,DD
196.66666666666666,run18,no infection,DD
190.33333333333334,run19,no infection,DD
325.3333333333333,run20,no infection,DD
246,run21,no infection,DD
182,run22,no infection,DD
257.3333333333333,run23,no infection,DD
237.66666666666666,run24,no infection,DD
292.6666666666667,run25,no infection,DD
176.66666666666666,run26,no infection,DD
111.66666666666667,run27,no infection,DD
139,run28,no infection,DD
96.66666666666667,run29,no infection,DD
449.3333333333333,run30,no infection,DD
243.66666666666666,run31,no infection,DD
243.00000000000003,run32,no infection,DD
301.6666666666667,run33,no infection,DD
296.3333333333333,run34,no infection,DD
315.6666666666667,run35,no infection,DD
184,run36,no infection,DD
229.33333333333334,run37,no infection,DD
336.6666666666667,run38,no infection,DD
174,run39,no infection,DD
143.66666666666669,run40,no infection,DD
152,run41,no infection,DD
261,run42,no infection,DD
148.66666666666666,run43,no infection,DD
270.66666666666663,run44,no infection,DD
320.66666666666663,run45,no infection,DD
163.66666666666669,run46,no infection,DD
256.33333333333337,run47,no infection,DD
303.6666666666667,run48,no infection,DD
159,run49,no infection,DD
373.3333333333333,run50,no infection,DD
128,run51,no infection,DD
314,run52,no infection,DD
239.33333333333334,run53,no infection,DD
163.33333333333334,run54,no infection,DD
237.33333333333334,run55,no infection,DD
37.666666666666664,run56,no infection,DD
113.33333333333333,run57,no infection,DD
247.66666666666666,run58,no infection,DD
295.3333333333333,run59,no infection,DD
99.33333333333333,run60,no infection,DD
155.66666666666666,run61,no infection,DD
210,run62,no infection,DD
275.6666666666667,run63,no infection,DD
182.66666666666666,run64,no infection,DD
279,run65,no infection,DD
209,run66,no infection,DD
185.33333333333331,run67,no infection,DD
140,run68,no infection,DD
291.33333333333337,run69,no infection,DD
226.66666666666666,run70,no infection,DD
313.6666666666667,run71,no infection,DD
155,run72,no infection,DD
167.33333333333334,run73,no infection,DD
135.33333333333331,run74,no infection,DD
295.3333333333333,run75,no infection,DD
276.6666666666667,run76,no infection,DD
344,run77,no infection,DD
489.66666666666663,run78,no infection,DD
177.66666666666666,run79,no infection,DD
200.66666666666669,run80,no infection,DD
178,run81,no infection,DD
227,run82,no infection,DD
272.66666666666663,run83,no infection,DD
199,run84,no infection,DD
305,run85,no infection,DD
247.00000000000003,run86,no infection,DD
213,run87,no infection,DD
323.6666666666667,run88,no infection,DD
246.33333333333334,run89,no infection,DD
298.6666666666667,run90,no infection,DD
228.66666666666666,run91,no infection,DD
417.3333333333333,run92,no infection,DD
175.66666666666666,run93,no infection,DD
219,run94,no infection,DD
157,run95,no infection,DD
183.66666666666666,run96,no infection,DD
164.66666666666669,run97,no infection,DD
235.66666666666666,run98,no infection,DD
243.00000000000003,run99,no infection,DD
92,run100,no infection,DD
52.666666666666664,run1,Anthrax,DD
127.66666666666666,run2,Anthrax,DD
128.33333333333334,run3,Anthrax,DD
37,run4,Anthrax,DD
25.333333333333336,run5,Anthrax,DD
45.33333333333333,run6,Anthrax,DD
65,run7,Anthrax,DD
-44.333333333333336,run8,Anthrax,DD
-4.666666666666667,run9,Anthrax,DD
-4,run10,Anthrax,DD
137.66666666666666,run11,Anthrax,DD
58.666666666666664,run12,Anthrax,DD
-9.333333333333334,run13,Anthrax,DD
-16.333333333333332,run14,Anthrax,DD
16,run15,Anthrax,DD
-17.666666666666668,run16,Anthrax,DD
-23,run17,Anthrax,DD
77.33333333333333,run18,Anthrax,DD
26.333333333333332,run19,Anthrax,DD
-5.333333333333334,run20,Anthrax,DD
91.66666666666666,run21,Anthrax,DD
73.33333333333333,run22,Anthrax,DD
20.333333333333332,run23,Anthrax,DD
-35,run24,Anthrax,DD
36.333333333333336,run25,Anthrax,DD
78,run26,Anthrax,DD
119,run27,Anthrax,DD
13.333333333333334,run28,Anthrax,DD
46.666666666666664,run29,Anthrax,DD
78,run30,Anthrax,DD
68.66666666666667,run31,Anthrax,DD
34.66666666666667,run32,Anthrax,DD
41.333333333333336,run33,Anthrax,DD
37.333333333333336,run34,Anthrax,DD
65.33333333333333,run35,Anthrax,DD
153,run36,Anthrax,DD
108,run37,Anthrax,DD
47.333333333333336,run38,Anthrax,DD
48,run39,Anthrax,DD
-4,run40,Anthrax,DD
64.33333333333333,run41,Anthrax,DD
-7.000000000000001,run42,Anthrax,DD
3.6666666666666665,run43,Anthrax,DD
33.33333333333333,run44,Anthrax,DD
89.66666666666666,run45,Anthrax,DD
71,run46,Anthrax,DD
53,run47,Anthrax,DD
52.33333333333333,run48,Anthrax,DD
36.666666666666664,run49,Anthrax,DD
38.666666666666664,run50,Anthrax,DD
-0.6666666666666667,run51,Anthrax,DD
-24.666666666666668,run52,Anthrax,DD
99,run53,Anthrax,DD
188.66666666666669,run54,Anthrax,DD
61.66666666666667,run55,Anthrax,DD
95.33333333333334,run56,Anthrax,DD
-5,run57,Anthrax,DD
75,run58,Anthrax,DD
39.666666666666664,run59,Anthrax,DD
80.33333333333333,run60,Anthrax,DD
7.666666666666666,run61,Anthrax,DD
16.666666666666664,run62,Anthrax,DD
51.66666666666667,run63,Anthrax,DD
55.00000000000001,run64,Anthrax,DD
-12,run65,Anthrax,DD
76,run66,Anthrax,DD
-3.6666666666666665,run67,Anthrax,DD
37.666666666666664,run68,Anthrax,DD
41,run69,Anthrax,DD
13.666666666666666,run70,Anthrax,DD
46.666666666666664,run71,Anthrax,DD
55.333333333333336,run72,Anthrax,DD
65.33333333333333,run73,Anthrax,DD
50,run74,Anthrax,DD
96.66666666666667,run75,Anthrax,DD
66.66666666666666,run76,Anthrax,DD
71.33333333333334,run77,Anthrax,DD
16.333333333333332,run78,Anthrax,DD
